Distance Matrix
9									
Elephant	0.00000	0.26979	0.27288	0.30113	0.27230	0.22797	0.23471	0.25282	0.26129
Manatee	0.26979	0.00000	0.21958	0.24712	0.28798	0.23688	0.20550	0.22878	0.23772
Cat	0.27288	0.21958	0.00000	0.04929	0.25375	0.16985	0.18061	0.19900	0.20742
Tiger	0.30113	0.24712	0.04929	0.00000	0.26671	0.18696	0.21338	0.23229	0.24082
Treeshrew	0.27230	0.28798	0.25375	0.26671	0.00000	0.19558	0.17169	0.20849	0.21698
Bat	0.22797	0.23688	0.16985	0.18696	0.19558	0.00000	0.13782	0.15580	0.16395
Monkey	0.23471	0.20550	0.18061	0.21338	0.17169	0.13782	0.00000	0.04371	0.05110
Human	0.25282	0.22878	0.19900	0.23229	0.20849	0.15580	0.04371	0.00000	0.00708
Gorilla	0.26129	0.23772	0.20742	0.24082	0.21698	0.16395	0.05110	0.00708	0.00000
